Job Title,Company Name,URL,Job Base Salary,Job Experience Requirements,Job Location,Job Responsibilities,Job Skills,Job Summary,Time in Role
UI/UX Designer,One Dot World,https://www.jobberman.com.gh/listings/uiux-designer-wp904k,"GHS  3,600 - 4,200",IT & Telecoms,Accra & Tema Region,,Software & Data,"OneDotWorld is looking for a talented UI/UX Designer to join our team and help create user-centric, visually stunning, and seamless digital experiences.",Full Time
Head of Commercial,Jobberman Third Party,https://www.jobberman.com.gh/listings/head-of-commercial-jqgm66,Confidential,Recruitment,Accra & Tema Region,"Identify market opportunities at the account level and run a data-driven sales planning process, set smart quotas, and design compelling incentive plans.",Sales,"You form an integral part of our ecosystems by executing on the commercial strategy. You will be integral in the generation and execution of this strategy in a bid to bridge the talent gap in Africa. You will hold the strategic mandate to plan and run the commercial side of the business with best-in-class processes by analyzing market trends, forecasting sales, and implementing strategies to maximize profitability. You will partner with the CEO to drive business growth, ensuring operational efficiency, and fostering successful customer relationships. Ideally you must possess strong analytical skills, a deep understanding of market dynamics, and the ability to communicate and collaborate effectively across various teams within the organization.",Full Time
Accountant,,https://www.jobberman.com.gh/listings/accountant-7w4mex,Confidential,Education,Accra & Tema Region,,"Accounting, Auditing & Finance",We are seeking an Accountant. Your duties include; preparation of reports and inventory management. The ideal candidate must have knowledge about tally software and assist in any other duties that will be provided,Full Time
Driver (Type C),Penta Foods,https://www.jobberman.com.gh/listings/driver-type-c-07vzrd,Confidential,"Retail, Fashion & FMCG",Accra & Tema Region,"Safely and punctually deliver products to assigned shops, resellers, outlets, and individual customers.",Driver & Transport Services,"We are hiring a Driver with license type C to safely and punctually deliver products to assigned clients, ensure proper maintenance of the delivery vehicle, ensure accurate and complete documentation for all deliveries while communicating effectively with customers ensuring a positive customer experience.",Full Time
Human Resource Officer,AGENDA COMMERCIAL LTD,https://www.jobberman.com.gh/listings/human-resource-manager-5dqv0g,Confidential,"Retail, Fashion & FMCG",Accra & Tema Region,,Human Resources,"We are seeking a highly skilled and experienced Human Resource Manager to oversee all aspects of our HR functions in our trading and general goods business. The HR Manager will be responsible for managing recruitment, employee relations, performance management, compliance, and driving digital transformation within the HR department. This position r",Full Time
Business Development Manager,Jobberman Third Party,https://www.jobberman.com.gh/listings/business-development-manager-84rng6,Confidential,Manufacturing & Warehousing,Accra & Tema Region,,Management & Business Development,To be ambitious and energetic Business Development Manager who can help us expand our clientele. You will be the front of the company and will have the dedication to create and apply an effective sales strategy.,Full Time
Head of Commercial,Jobberman Third Party,https://www.jobberman.com.gh/listings/head-of-commercial-jqgm66,Confidential,Recruitment,Accra & Tema Region,"Identify market opportunities at the account level and run a data-driven sales planning process, set smart quotas, and design compelling incentive plans.",Sales,"You form an integral part of our ecosystems by executing on the commercial strategy. You will be integral in the generation and execution of this strategy in a bid to bridge the talent gap in Africa. You will hold the strategic mandate to plan and run the commercial side of the business with best-in-class processes by analyzing market trends, forecasting sales, and implementing strategies to maximize profitability. You will partner with the CEO to drive business growth, ensuring operational efficiency, and fostering successful customer relationships. Ideally you must possess strong analytical skills, a deep understanding of market dynamics, and the ability to communicate and collaborate effectively across various teams within the organization.",Full Time
Reporting and Data Analyst,Stone Depot  Ghana Limited,https://www.jobberman.com.gh/listings/reporting-and-data-analyst-q2xdwv,Confidential,Construction,Accra & Tema Region,"Extract, compile, and analyze data from internal systems, including CRM, ERP, and inventory management tools.",Software & Data,"Stone Depot Limited is a natural stone and fabrication company known for delivering high-quality materials to clients with a commitment to excellence and precision, we utilize data-driven insights to streamline operations and enhance decision-making. We are looking for a talented Reporting and Data Analyst to manage and analyze data, create detailed reports, and present actionable insights that drive our business forward. If you are passionate about transforming raw data into meaningful information and are skilled in Google Looker Studio or equivalent software, we love to hear from you.",Full Time
Senior Software Engineer - Packaging - Optimize Ubuntu Server,,https://www.jobberman.com.gh/listings/senior-software-engineer-packaging-optimize-ubuntu-server-4nw6rp,Confidential,,Accra & Tema Region,,Engineering & Technology,,Full Time
IT Support Officer,,https://www.jobberman.com.gh/listings/it-support-officer-7w47gj,Confidential,"Banking, Finance & Insurance",Accra & Tema Region,,Engineering & Technology,"The holder of the role is responsible for administering all databases, Networking and systems, including but not limited to, jBase databases, SQL databases and business applications, the holder will also set up and administer, configure backup solutions. In addition, serve as a technical expert in the area of system and Network administration for complex operating systems amongst others.",Full Time
"Analyst, Cybersecurity at MTN Ghana",,https://www.jobberman.com.gh/listings/analyst-cybersecurity-at-mtn-ghana-wp07wg,Confidential,,Accra & Tema Region,,Software & Data,,Full Time
Cloud Field Engineering Manager,,https://www.jobberman.com.gh/listings/cloud-field-engineering-manager-xp9kvn,Confidential,,Accra & Tema Region,,Engineering & Technology,,Full Time
Senior DevOps Engineer at AmaliTech,,https://www.jobberman.com.gh/listings/senior-devops-engineer-at-amalitech-848vg4,Confidential,,Accra & Tema Region,,Engineering & Technology,,Full Time
Full-stack Drupal Developer,fjorge,https://www.jobberman.com.gh/listings/full-stack-drupal-developer-9jxevj,USD  1500 - 2500,IT & Telecoms,Kumasi & Ashanti Region,Development Communication,Engineering & Technology,"We are looking for a Full-stack Developer with extensive Drupal experience to join our team. The Full-stack Developer role at fjorge is integral to delivering high-quality products that meet client needs and business goals. As a leader on the development team, the Sr. Developer ensures the technical execution of projects, from architecture to estimation to completion. The Sr. Developer collaborates closely with other team members, consistently providing clear communication, accurate estimations, and maintaining a high standard of work that aligns with the product vision. This is a in-person role based in our Kumasi, Ghana office. We expect to see full time in-office collaboration.",Full Time
Full-stack Blockchain Developer,,https://www.jobberman.com.gh/listings/full-stack-blockchain-developer-07v9jk,Confidential,,Accra & Tema Region,,Engineering & Technology,,Full Time
UI/UX Designer,One Dot World,https://www.jobberman.com.gh/listings/uiux-designer-wp904k,"GHS  3,600 - 4,200",IT & Telecoms,Accra & Tema Region,,Software & Data,"OneDotWorld is looking for a talented UI/UX Designer to join our team and help create user-centric, visually stunning, and seamless digital experiences.",Full Time
Data Engineer,,https://www.jobberman.com.gh/listings/data-engineer-9jz85j,Confidential,,Accra & Tema Region,,Engineering & Technology,,Full Time
